question,A1,A2,A3,A4,correct,explanation
נמאס לך לענות על השאלות כאן והחלטת להתאבד בדרך מקורית: לעצור את הנשימה עד הסוף המר. האם זה אפשרי?,"כן, וזה אפילו מסוכן לנסות",רק אנשים עם כוח רצון חזק מסוגלים לעשות זאת,רק ילדים יכולים לעשות זאת,בלתי אפשרי להתאבד בשיטה כזו,A4,"כאשר אנו מפסיקים את הנשימה מצטבר פחמן דו חמצני שמגרה את מרכז הנשימה. המוח שולח הודעה לשרירים הבין צלעיים להתכווץ ולהעלות את סל בית החזה מעלה בעוד ששריר הסרעפת מתכווץ ויורד מטה. אל בית החזה והסרעפת מחובר קרום הפלאורה (הצדר) שבנוי שני ""עלים"". ה""עלה"" החיצוני מחובר לבית החזה ולסרעפת בעוד שה""עלה"" הפנימי מחובר בריאות. כאשר נפח בית החזה גדל (בגלל התרוממות בית החזה והשטחת הסרעפת מטה), נמשכות הריאות עם קרומי הפלאורה והנפח שלהן גדל. נוצר שם תת לחץ שמאפשר לאוויר להיכנס אל הריאות. זהו תהליך השאיפה. תהליך הנשיפה הוא חזרה פסיבית של בית החזה והסרעפת למקומם, הקטנת נפח הריאות ויציאת האוויר מהן. הערה: קרומי הפלאורה נחלקים לפלאורה פרייטלית (חיצונית) הצמוד לכלוב הצלעות מבפנים, והשני, קרום הפלאורה הויסרלית (פנימית) הצמוד לריאה. שני קרומי הפלאורה צמודים כשבניהם נוזל המונע חיכוך בדיוק כמו שקית ניילון רטובה שנשאב ממנה האוויר."
"הגעת לאדון כבן 70, בהגיעך אתה מבחין בחולה עם שיעול ניכר מתקשה בהשלמת משפט. בני המשפחה מציינים שהחולה משתמש במחולל חמצן באופן קבוע ובעברו מעשן כבד.בבדיקה: בהכרה מלאה, מתנשם במהירות, כ28 נשימות בדקה, מזיע, דופק 120, סדיר. למה תחשוד וכיצד תטפל?","אסתמה, הטיפול יכלול מתן חמצן, משאף והזעקת נט""ן.","COPD, הטיפול יכלול מתן חמצן והזעקת נט""ן.","חשד להיפרוונטלציה על רקע חרדה, הטיפול יכלול מתן חמצן והזעקת נט""ן.","בצקת ריאות על רקע לבבי, הטיפול יכלול מתן חמצן והזעקת נט""ן.",A2,
מהו Hemothorax?,סוג של חזה אויר,סוג של חזה אויר בלחץ,סוג של חזה אויר משולב בדימום,הלם קרדיוגני,A3,"חזה דם הוא מצב שבו יש דימום לחלל הפלאורלי . זה יכול לנבוע מדימום של כלי דם בין הצלעות או של כלי דם פנימיים. אם הדימום מבפנים אז לרוב הוא מסיבי: Massive Hemothorax . תופעה זו מתייחסת להצטברות של מעל לליטר וחצי (1500 סמ""ק) בבית החזה או קצב דימום של יותר מ 200 סמ""ק לשעה. סימנים: נראה את כל הסימנים של חזה אויר בשילוב עם סימני הלם היפוולמי."
"מטופל נמצא מחוסר הכרה, אינו נושם ואין דופק מורגש. הסביבה בטוחה. — מה הפעולה הנכונה ביותר?",להשכיב על הצד ולהמתין,להתחיל החייאה לפי C-A-B ולהביא דפיברילטור,לתת שתייה מתוקה,לבצע בדיקת FAST בלבד,A2,"חוסר הכרה ללא נשימה וללא דופק מחייב התחלת החייאה, עיסויים, פתיחת נתיב אוויר, הנשמות וחיבור AED."
במהלך החייאה הדפיברילטור לא ממליץ על שוק. מה זה אומר?,המטופל מת,המטופל לא בVF,למטופל יש דופק,תקלה במדבקות,A2,
מהו הגורם לבצקת ריאות?,שתיה בשכיבה,אי ספיקת לב שמאלית,עישון,אי ספיקת לב ימנית,A2,
באיזה עורק בודקים דופק למבוגר בהכרה מלאה?,קרוטיד,רדיאלי,פימורלי,בריכאלי,A2,
מה עלינו לעשות בעת הגשת עזרה ראשונה לתאונת דרכים לפני כל טיפול?,"להודיע למד""א",ללבוש אפוד זוהר כדי שלא יפגעו בנו,להרחיק מגורם מסכן כמו רכב שעלול להתלקח,"כל הנ""ל",A4,"לפני כל פעולה להצלת חיים יש לצור קשר עם מגן דוד אדום. דחיית הפעולה הזו עלולה לגרום לעיכוב במתן עזרה מקצועית, בעיקר כאשר ניתן להניח שאם נהיה בעיצומה של הגשת עזרה, נדחה את הפניה בזמן יקר. אפשרות אחרת היא להתחיל להגיש עזרה ולבקש מאחד הנוכחים שיודיע למד""א בעצמו. ידועים מקרים בהם אנשים שנגשו להגיש עזרה נפגעו ממכונית חולפת בעצמם. לכן חשוב ללבוש אפוד זוהר ולהרחיק את הנפגע ככל שניתן, ממקום הסכנה. סייג להמלצה זו: כאשר קיים חשש לפגיעה או שבר בעמוד שדרה צווארי יש להימנע, ככל שניתן, מהזזת המטופל, ויש להגיש את הטיפול ללא הזזתו. להורדת מצגת מפורטת בנושא הצלת חיים"
ילד בן 16 עם דקירת סכין שנשלפה. למה תחשוד?,זיהום,פגיעת חזה,פגיעת בטן,הלם היפוולמי,A6,
מהם סימני הטמפונדה?,"גודש ורידי צוואר, סימני הלם קרדיוגני, קושי בשמיעת קולות הלב","גודש ורידי צוואר, סטית קנה הנשימה, ציאנוזיס (כיחלון)","דופק מלא ואיטי, נטיה להקאות, אישון מורחב בצד אחד","כאבים עזים, עשן עולה מהפצע, ריח חריף של עור שרוף או שום",A1,"מהם סימני הטמפונדה? א - גודש ורידי צוואר, סימני הלם קרדיוגני, קושי בשמיעת קולות הלב ב - גודש ורידי צוואר, סטית קנה הנשימה, ציאנוזיס (כיחלון) ג - דופק מלא ואיטי, נטיה להקאות, אישון מורחב בצד אחד ד - כאבים עזים, עשן עולה מהפצע, ריח חריף של עור שרוף או שום הערות: גודש ורידי צוואר, סטית קנה הנשימה, ציאנוזיס (כיחלון) מתאים לחזה אויר בלחץ. דופק מלא ואיטי, נטיה להקאות, אישון מורחב בצד אחד מתאים לפגיעות ראש. כאבים עזים, עשן עולה מהפצע, ריח חריף של עור שרוף או שום מתאים לפגיעת זרחן."
מהו פרפור חדרים (VF)?,השם המקוצר של הדפיברילטור,הפרעת קצב,מה שצועקים להרחיק מהמטופל,כשנכנס פרפר לחדר,A2,VF = פרפור חדרים – הפרעת קצב קטלנית שבה החדרים מרטטים.
מה מסוכן יותר היפוגליקמיה או היפרגליקמיה ולמה?,היפרגליקמיה גורמת להשמנה,היפוגליקמיה - נזק בלתי הפיך לתאי המוח ואף מוות,היפוגליקמיה - שינויים בחומציות,היפוגליקמיה - האינסולין מפרק תאי מוח,A2,
"לאחר פיצוץ בלון גז באזור מגוריך, הגעת למטופל מבוהל אשר נושם במהירות ואזור הנחיריים שלו נראים חרוכים. המטופל טוען שהוא בסדר, לכן",תמליץ על פניה מידית לבית חולים בחשש לכוויה פנימית,תמליץ לפנות למיון רפואי בכל מקרה בו תחול החמרה בנשימה,תמליץ על משחת אלוורה לנחיריים ושהייה במזגן בשעות הקרובות,תמליץ על טיפול לחיזוק היין של הריאות,A1,"כוויה היא פגיעה בעור בשל חום או קור קיצוני, חומר כימי או התחשמלות. חומרת הכוויה נחשבת לפי העומק ולפי גודל השטח הפגוע. הכוויה מסוכנת בשל חשש לאיבוד נוזלים, זיהום וסיבוכים לרבות פגיעה במערכות פנימיות. יש לשלול שאיפת עשן (כוויה פנימית) על ידי סיפור מקרה והתבוננות בשערות נחיריים חרוכות. בכל כוויה חיצונית רצוי לקרר את אזור הכוויה, אפשרי עם רטיות רטובות. להורדת מצגת מפורטת בנושא הצלת חיים"
מתחת לכמה נגדיר את רמת הסוכר כהיפוגליקמיה?,מתחת ל110,מתחת ל60,מתחת ל30,מתי שיופיע במכשיר הגלוקומטר LO,A4,
באיזה קצב יש לבצע עיסויי לב במהלך החייאה?,60-80 בדקה,80-100 בדקה,100-120 בדקה,הקצב לא משנה,A3,קצב מומלץ: 100-120 לחיצות בדקה.
מהו הדבר הראשון שעל מגיש עזרה ראשונה לעשות בזירת האירוע?,"לחייג למד""א מגיע לפני הכל!",לבעוט במטופל ולבדוק אם חי,לבדוק בטיחות,לומר 'איש איש איך אתה מרגיש?',A3,תמיד קודם: בטיחות! לא ניגשים לנפגע לפני שהזירה בטוחה.
מה זה הומיאוסטזיס?,תהליך שבו הגוף מפרק מזון לאנרגיה,כושרו של יצור חי לשמור על סביבה פנימית יציבה בגבולות מוגדרים,מעבר חמצן מהריאות אל הדם,ויסות קצב פעימות הלב,A2,"הומיאוסטזיס = שמירת שיווי משקל פנימי (חום, pH, סוכר, לחץ). חיוני לחיים."
מהי היפוקסמיה?,ירידה בחום הגוף,ירידה בחמצן בדם העורקי,עודף פחמן דו-חמצני,חמצן תקין ברקמות,A2,היפוקסמיה = SpO₂ מתחת ל-95% בדם העורקי. מטופלים בחמצן.
כיצד נבדוק נשימה?,על ידי הקשבה להבל פה המטופל,בעזרת הדופק. אם יש דופק אז יש נשימה,"הצמדת האוזן שלנו לאף המטופל תוך סגירת הפה שלו או, לפה המטופל תוך סגירת האף שלו","הסתכלות בבית החזה, הקשבה לפתחי הנשימה ומישוש אזור הסרעפת",A4,"נבדוק נשימה כ 5-10 שניות על ידי הסתכלות אחר התרוממות בית החזה, הקשבה עם האוזן על האף והפה ומישוש תנועת הסרעפת. אם המטופל נושם - נעקוב אחר הנשימה ונשמור על המצב עד להגעת כוחות עזר. אם המטופל לא נושם - יש להנשימו ולוודא דופק. יצוין כי בשנים האחרונות רווחת הגישה שבדיקת דופק אינה אמינה כיוון שרוב האנשים אינם מיומנים בכך ולפיכך יש להתחיל בעיסוי בכל מקרה של ספק. לגבי ההנשמה, ראו הערה בשאלה 23. להורדת מצגת מפורטת בנושא הצלת חיים"
מהו הנזק השכיח ביותר אצל נפגעי בטן?,בעיות נשימה,בעיות זיהום,איבוד דם,נכות עקב שברים באגן,A3,"אחוז נפגעי הבטן מכלל הפצועים עומד על כ 7% (הנתונים תופסים עד לעופרת יצוקה). התמגנות נכונה (שכפ""ץ קרמי) מפחיתה את אחוז הפגיעות אף משמעותית יותר. סביר לחשוד שכל פגיעת בטן מדממת ולכן מלווה בהלם, שהידרדרותו מהירה. אין ספק שהלם על רקע איבוד דם היא הבעיה המיידית, גם אם האפשרויות האחרות עלולות להופיע והן מסכנות חיים לא פחות."
כמה אונות ריאה יש בגוף?,2,5,6,4,A2,
נער מחוסר הכרה ברמת הגולן עם המטומה בזרוע ופסים אדומים לכתף. מה קרה לו?,מכת חום,הלם היפוולמי,הכשת נחש,חבלת ראש,A2,
"מה נעשה אם מטופל מתחיל להזיע, לחוש כאבים בחזה ומתלונן על הקרנת כאב ללסת ימנית שלו?",לטפל בכלים של רפואה משלימה ואם זה לא עובד אז לשלוח אותו למוקד רפואי,"להזעיק את מד""א ובינתיים להגביה את תנוחת הישיבה שלו",להתחיל מיידית עם הנשמות ללא עיסויים,להתחיל מיידית עם הנשמות ועיסויי לב,A2,"כשהלב לא מקבל אספקת דם וחמצן שוטפת לשריר שלו חל אוטם והוא נכנס למצוקה לבבית. הסימנים כוללים כאבים במרכז החזה או ברום הבטן המקרינים למקומות שונים (ולא רק לזרוע שמאל), קוצר נשימה, חולשה והזעות קרות ללא מאמץ. ככל שהפינוי מהיר יותר הסיכוי להציל את המטופל ולמנוע ממנו נזק כרוני גדול יותר.יש להזעיק את מד""א. עד להגעת עזרה יש להגביה את בית החזה כדי לאפשר נשימה טובה יותר ולהקל על הבצקת הנוצרת בריאות. באובדן הכרה יש להתחיל מידית בעיסוי לב ובהנשמות. להורדת מצגת מפורטת בנושא הצלת חיים"
[שאלת העשרה] מה מאפיין היפותרמיה בינונית?,"רעד וקור בגפיים, הפרעה בשיפוט וקושי בדיבור","הפסקת זרימת שתן, רפלקסים מופחתים וקהות חושים",הפרעות קצב לב וירידה דרמטית בלחץ הדם,היעדר תגובה מוחית ותרדמת,A2,"היפותרמיה קלה - בין 32-35 מעלות יש רעד ותחושת קור. ב 34 מעלות מופיעה הפרעה בשיפוט, שכחה וקושי בדיבור. בשלב זה, קצב הנשימה והלב גוברים אך תפוקת השתן יורדת למינימום (כדי להפחית איבוד חום). היפותרמיה בינונית - בין 32-28 מעלות נפגע תפקוד המוח ומערכת העצבים. הרפלקסים מופחתים. כמעט ואין זרימת שתן ורוב הנפגעים נמצאים במצב של קהות חושים. קרוב ל 28 מעלות האישונים מתרחבים, מה שמעיד על פגיעה מוחית וקצב הלב יורד, מה שמוביל להפרעות קצב לב. היפותרמיה קשה - מתחת ל 28 מעלות מוחמרות הפרעות קצב הלב עד להפסקת פעילותו. מצטברים נוזלים. לא ניתן למדוד לחץ דם ורוב הנפגעים נמצאים במצב של תרדמת."
מהם מנגנוני ההגנה של מערכת הנשימה?,הקאה,שיעול,רוק,נזלת,A2,"מנגנוני הגנה: שיעול, הקאה, ריסים, ריר. שיעול הוא המנגנון החזק ביותר."
מהו תמרון סליק?,לחיצה על סחוס הקריקואיד תוך כדי הנשמה,חיבור חמצן תוך כדי הנשמה,הידוק מסכת האמבו אל פני המונשם תוך כדי הנשמה,פינוי המונשם תוך כדי הנשמה,A1,תמרון סליק מבוצע על ידי חובש אחר (שאינו מנשים) באמצעות הפעלת לחץ על סחוס הקריקואיד. זה מבוצע תוך כדי הנשמה עם אמבו. המטרה: מזעור הסיכון לכניסת אויר לקיבה ומזעור סכנת האספירציה.
מה מייחד ילדים ותינוקות לעומת מבוגרים?,בילדים הראש והלב גדולים יותר יחסית לגוף,בילדים האפיגלוטיס לא מפותח יחסית למבוגר,בילדים קצב הלב והנשימה גדול אך לחץ הדם ונפח הדם קטנים יחסית למבוגר,כל התשובות לעיל נכונות,A4,"קיימים הבדלים אנטומיים: הראש, הלב והלשון יותר גדולים יחסית לגוף. לעומת זאת האפיגלוטיס לא מפותח (מה שיכול להזמין חנק). קיימים הבדלים פיזיולוגיים: לחץ הדם נמוך יחסית - 60/85 במקום 120/80 . קצב הנשימה והלב מהיר - 115-140 פעימות במקום 60-80 ו 20-40 נשימות במקום 12-16 במבוגר."
מה הסכנה לאדם שנסחף לאמצע ים המלח וממתין זמן ממושך לחילוץ ופינוי?,התייבשות,המוליזה,טביעה יבשה,טביעה רטובה,A1,בטביעה יבשה עווית של הלוע מונעת כניסת נוזלים לדרכי הנשימה אך יוצרת חנק. לאחר איבוד ההכרה חלה הרפיה של שרירי הלוע ואז הטביעה הופכת לרטובה. בטביעה רטובה חלה שאיפת נוזלים לדרכי הנשימה. שהייה ממושכת בים המלח גוררת הוצאת נוזלים מהגוף (באוסמוזה) ולכן חלה גם סכנת התייבשות. טביעה במים מתוקים עלולה להיות מסוכנת יותר בשל חדירת מים בעלי ריכוז נמוך לדם ולתאי הדם (בתהליך של אוסמוזה) ופיצוץ כדוריות הדם (המוליזה). להורדת מצגת מפורטת בנושא הצלת חיים
מה נכון לגבי סוגי הפגיעה של ההדף?,פגיעה ראשונית מתייחסת לפגיעה מעצמים מעופפים,פגיעה שניונית מתייחסת לפגיעה מגל ההדף ומחום,פגיעה שלישונית מתייחסת לחבטה שהנפגע סופג כשהוא נפגש עם חפץ אחר,פגיעה רביעונית מתייחסת לצפצופים באוזניים,A3,"ניתן לחלק את הפיצוץ לשלושה שלבי פגיעה: א. פגיעה ראשונית - פגיעת הדף וחום ב. פגיעה שניונית - פגיעה מעצמים מעופפים ג. פגיעה שלישונית - הנפגע מועף והגוף נפגש עם חפץ אחר (כסיש, קיר וכדומה) הערה: אין דבר כזה פגיעה רביעונית, סתם המצאה."
מהו הצעד הראשון בפתיחת נתיב אוויר לנפגע מחוסר הכרה?,בדיקת דופק,ביצוע עיסוי לב,הטיית הראש לאחור והרמת הסנטר,הנחת המטופל על צידו,A3,הטיית ראש-הרמת סנטר פותחת את נתיב האוויר ומונעת חסימה על ידי הלשון.
"לרשותנו מיכל חמצן נייד בלחץ של PSI 1500, לכמה זמן עבודה יספיק בהנחה שהמטופל הוא מבוגר וקצב הזרימה עומד על LPM 10?",כ-20 דקות.,כ-200 דקות.,כ-24 דקות.,כ-240 דקות.,A3,
"עם כל ההגנה שמספקת הגולגולת למוח, לעתים היא הופכת למלכודת מוות. מהי הסכנה העיקרית?",איבוד דם מסיבי,עליה בלחץ התוך גולגלתי,זיהומים שקשה לטפל,נזק היכול לגרום לנכות פיזית ונפשית,A2,"בזמן חבלה, דימום או בצקת יוצרים לחץ על רקמת המוח. כיוון שאין לו לאן ""לברוח"" הוא נלחץ אל הגולגולת מבפנים ומעלה את הלחץ התוך גולגלתי. תופעה זו יכולה להוביל לדחיסת המוח לכיוון הפתח היחידי שברשותו: ה Foramen Magnum שהוא הפתח המחבר אל עמוד השדרה. אלא ששם ישנה בליטה קטנה (שיוצאת מהחוליה השניה) שפוגעת בגזע המוח. כיוון שגזע המוח אחראי על דופק, נשימה ולחץ דם, ניתן להבין את גודל הסיכון. לחץ תוך גולגלתי מוגבר נקרא Elevated Intra-Cranial Pressure = ICP. מניעת בצקת על ידי חמצון המוח ומניעת הצטברות דם בחלל הגולגולת הם פעולות מצילות חיים אך את עיקרן ניתן לבצע בחדר ניתוח של בית חולים. לכן, משימתנו העיקרית היא להשאיר את המטופל בחיים עד לפינוי למסגרת רפואית מתאימה. הערה: פגיעת ראש היא פגיעה דינאמית: דימום או בצקת מעלים את ה ICP שגורם להעלאת לחץ דם כתגובת פיצוי, וזה מצידו מגביר את הדימום או הבצקת."
מהו עצב הוואגוס?,עצב קרניאלי מספר 10,העצב המעצבב את המערכת הפראסימטטית,עצב שגירוי שלו יגרום לירידת קצב הלב,כל התשובות נכונות,A4,
היכן נמצא הלב בגוף האדם?,בחלל הבטן הימני,"במרכז בית החזה, נוטה שמאלה",בצד הימני של בית החזה,מתחת לסרעפת,A2,"הלב נמצא במדיאסטינום (מרכז בית החזה), אך נוטה מעט שמאלה."
תינוק בוכה לאחר שאכל. מה הפעולה הנכונה כמגיש עזרה ראשונה?,לבצע טפיחות גב מיד,לבצע לחיצות חזה,לעודד אותו להמשיך לבכות,להפוך אותו על הראש,A3,תינוק שבוכה = נושם ומנקה נתיב אוויר. לעודד בכי = לעודד שיעול. לא להתערב!
מה מאפיין מכת חום?,"קשיי נשימה, הזיות, הקאות ו / או פרכוסים","שעור הגוף אדום, יבש וחם למגע",החום מעל ל 40 מעלות בבדיקה רקטלית,כל הסימנים לעיל מאפיינים מכת חום,A4,"מכת חום ממאמץ מוגדרת בעלייה בטמפרטורת הגוף מעל ל- 40 מעלות צלסיוס, המתפתחת בהמשך לפעילות גופנית ומלווה בהסתמנות נוירולוגית. מכת חום מתרחשת כאשר הגוף קולט יותר חום מאשר הוא מסוגל לפלוט. במקרה זה יופיעו הסימנים הבאים: עור אדום, יבש וחם למגע. המטופל מתלונן על תשישות וקשיי נשימה. לעתים מופיעות הקאות. במצבים קשים יש פגיעה מוחית המתבטאת בהזיות, פרכוסים וירידה במצב ההכרה. חום הגוף גבוה ואילו החום הרקטלי גבוהה מעל 39 מעלות."
מה זה פיזיולוגיה?,תורה החוקרת את מבנה הגוף,תורה החוקרת את התהליכים הכימיים המתרחשים בגוף,תורה החוקרת דרכי פעולתן של המחלות,ענף משנה של הפתולוגיה,A2,פיזיולוגיה = כיצד הגוף עובד ותפקודיו.
מה הסכנה בטמפרטורת גוף גבוהה מידי?,האטת תהליכים בגוף,הרס חלבונים חיוניים,התייבשות,כוויות פנימיות,A2,"חום הגוף מווסת כך שהוא לא יהיה גבוה או נמוך מידי. טמפרטורה נמוכה מאטה פעולות חיוניות לחיים. טמפרטורה גבוהה מקרישה חלבונים חיוניים (בדיוק כמו שחלבון נקרש לחביתה). הרס חלבונים זה מתרחש, לרוב, בטמפרטורות שמעל ל 42 מעלות אך גם חום גבוה שמעל 40 עלול להיות מסכן חיים. תופעה זו מכונה היפרתרמיה. במצב זה הגוף מנסה להיפתר מעודף החום על ידי מנגנונים כמו הזעה והרחבת כלי דם פריפריים אך, לרוב, הסכנה העיקרית היא בגלל נזק לחלבונים ולא בגלל התייבשות."
מתי אסור לחבר דפיברילטור?,כשהמטופל מחוסר הכרה,כשהמטופל נושם,כשאין נשימה,כשיש דופק,A4,אסור לחבר AED כשיש דופק! AED משמש רק בדום לב (ללא דופק ונשימה).
מהו SIDS בתינוקות?,תופעת מוות בעריסה על רקע חנק,תופעת מוות בעריסה ללא סיבה ברורה,תופעת מוות על רקע מום מולד או גירוי הוואגוס,תופעת חסימה נשימתית על רקע בצקות בגרון,A2,"Sudden Infant Death Syndrome = SIDS הוא שם כולל לכל מקרי המוות הלוא מוסברים של תינוקות שנראו בריאים. סיבות שכיחות למוות בתינוקות יכולות להיות על רקע פגיעות ראש, חנק, טביעה, מחלות דרכי נשימה חסימתיות, הרעלות ופגיעה בלב על רקע התחשמלות, מום מולד או דום לב (בשל גירוי וגאלי). סיבת המוות השכיחה ביותר בתינוקות היא בעיות בדרכי האוויר והנשימה."
מה אינו נחשב לגורם הגנה השומר על המוח?,שיער וקרקפת,עושר כלי דם בקרקפת,מבנה מעוגל של הגולגולת,קרומי מוח והנוזלים בניהם,A2,המוח הוא אחד האיברים החשובים והרגישים באדם. סביבות נמצא שכבות הגנה שונות: שיער - לריפוד והגנה מכנית ותרמית גולגולת - יש לה מבנה גרמי עגול שמצמצם סיכון לשברים קרומי המוח - למוח שלושה קרומים ובניהם נוזל ה CSF שגם מזין וגם בולם זעזועים BBB - זהו מחסום דמי מוחי הקיים בחלק הפנימי של כלי הדם במוח ומונע העברת רעלים למוח
מהי הפעולה הנכונה כאשר מטופל נושם אך מחוסר הכרה?,להתחיל החייאה,להשכיבו על הצד,להמתין ללא פעולה,לבצע לחיצות חזה,A2,נושם + חסר הכרה = תנוחת שחזור (Recovery Position). מונעת אספירציה.
מה מציינים ראשי התיבות להלן?,CPR פירושו החייאה תוך שימוש בפיברילטור,AED פירושו תמיכה בסיסית בחיים,ALS פירושו תמיכה מתקדמת בחיים,BLS פירושו החייאה נשימתית לבבית,A3,CPR = cardio Pulmonary Resucitation BLS = Basic Life Support ALS = Advanced Life Support AED = automated external defibrillator
היכן יש להצמיד את כפות הידיים בעת עיסוי לב במבוגר?,בצד שמאל של בית החזה,בצד ימין של בית החזה,מתחת לצלעות,במרכז בית החזה,A4,לוחצים במרכז בית החזה (חצי תחתון של הסטרנום).
"ילד בן 4 שפרכס, חם למגע, הפסיק לפרכס. למה תחשוד וכיצד תטפל?",פרכוס חום - קירור חמצן סוכר פינוי דחוף,פרכוס חום - הפסיק יכול להישאר בבית,אפילפסיה ראשון - לנוירולוג,אקמול ופינוי רגיל,A1,
"מה נכון לגבי טיפול בפגיעת חזה אויר בלחץ בתאג""ד שוקק פצועים?",קודם נחבוש ונאטום ורק אחר כך יוכנס טרוקר,קודם ננשים ורק אחר כך ננקז את האויר הכלוא,קודם הרופא יתן אנטיביוטיקה ואז ינתח,קודם הרופא יכניס ווייגון ואחר כך יכניס טרוקר,A4,"בפגיעת חזה אויר בלחץ יש לדאוג קודם למצב הנשימתי. אלא שהכנסת טובוס ללא ניקוז האויר יכול לגרום להעלאת הלחץ החיובי בהנשמה ולהמיר את מצב הלחץ בבית החזה. לכן יש לנקז את האויר. אם אין מספיק זמן לפרוצדורה כמו טרוקר, ניתן להשתמש באופן זמני ב Vygon ואחר כך להתפנות לבצע טרוקר. הנשמה והעשרה בחמצן (אם יש) מתבצעת ברגע שהלחץ נוקז (אך אפשר להציב מסכת חמצן קודם אם הרופא עדיין לא הגיע למטופל). לאחר ביצוע הטרוקר וקיבועו יש לבצע רישום, מעקב אחר כמות הדם היוצא לשקית הניקוז ואז ניתן להקל על כאבים ולדאוג לטיפולים משלימים ובניהם אנטיביוטיקה."
